_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,check_this_box_if_the_response_given_does_not_seem_like_a_legitimate_attempt_to_translate_the_page,check_this_box_if_there_is_text_in_the_photo,rate_the_grammarspelling_of_the_translation,orig__channel,orig__city,orig__country,orig__created_at,orig__id,orig__ip,orig__region,orig__started_at,orig__tainted,orig__trust,orig__unit_id,orig__worker_id,check_this_box_if_the_response_given_does_not_seem_like_a_legitimate_attempt_to_translate_the_page_gold,check_this_box_if_there_is_text_in_the_photo_gold,is_there_text_on_the_page,is_there_text_on_the_page_gold,rate_the_grammarspelling_of_the_translation_gold,translate_the_text_in_the_photo_as_accurately_as_possible,translate_the_text_in_the_photo_as_accurately_as_possible_gold,url
941669665,4/27/2016 15:19:40,1970241432,4/27/2016 15:18:56,false,neodev,0.9041,33270561,IND,19,Bangalore,117.192.233.122,,,,neodev,Barquisimeto,VEN,4/18/2016 03:53:07,1962649252,190.36.187.145,13,4/18/2016 03:52:58,false,1.0,935118433,37255634,,,no,,,,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/A_girl's_poems/A_girl's_poems_0.jpg
941669665,4/27/2016 15:21:43,1970242465,4/27/2016 15:19:35,false,neodev,0.8748,36750267,SRB,00,Belgrade,94.189.188.141,,,,neodev,Barquisimeto,VEN,4/18/2016 03:53:07,1962649252,190.36.187.145,13,4/18/2016 03:52:58,false,1.0,935118433,37255634,,,no,,,,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/A_girl's_poems/A_girl's_poems_0.jpg
941669665,4/27/2016 15:21:54,1970242531,4/27/2016 15:20:48,false,clixsense,0.9383,16488264,COL,34,Bogotá,181.130.241.94,,,,neodev,Barquisimeto,VEN,4/18/2016 03:53:07,1962649252,190.36.187.145,13,4/18/2016 03:52:58,false,1.0,935118433,37255634,,,no,,,,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/A_girl's_poems/A_girl's_poems_0.jpg
941669665,4/27/2016 15:24:40,1970244238,4/27/2016 15:22:57,false,clixsense,0.8941,30954324,COL,29,Cali,181.134.224.183,,,,neodev,Barquisimeto,VEN,4/18/2016 03:53:07,1962649252,190.36.187.145,13,4/18/2016 03:52:58,false,1.0,935118433,37255634,,,no,,,,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/A_girl's_poems/A_girl's_poems_0.jpg
941669665,4/27/2016 15:28:10,1970246364,4/27/2016 15:26:06,false,neodev,0.9271,33319917,VEN,"","",190.77.205.170,,,,neodev,Barquisimeto,VEN,4/18/2016 03:53:07,1962649252,190.36.187.145,13,4/18/2016 03:52:58,false,1.0,935118433,37255634,,,no,,,,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/A_girl's_poems/A_girl's_poems_0.jpg
941669665,4/27/2016 15:29:43,1970247548,4/27/2016 15:28:15,false,clixsense,0.9009,20525885,ESP,59,Beasain,176.86.135.50,,,,neodev,Barquisimeto,VEN,4/18/2016 03:53:07,1962649252,190.36.187.145,13,4/18/2016 03:52:58,false,1.0,935118433,37255634,,,no,,,,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/A_girl's_poems/A_girl's_poems_0.jpg
941669665,4/27/2016 15:32:46,1970250259,4/27/2016 15:32:02,false,clixsense,0.9238,17458507,ESP,51,Málaga,46.37.84.36,,,,neodev,Barquisimeto,VEN,4/18/2016 03:53:07,1962649252,190.36.187.145,13,4/18/2016 03:52:58,false,1.0,935118433,37255634,,,no,,,,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/A_girl's_poems/A_girl's_poems_0.jpg
941669665,4/27/2016 15:33:39,1970251409,4/27/2016 15:30:08,false,neodev,0.8574,29834326,UKR,15,Lvov,31.148.255.17,,,,neodev,Barquisimeto,VEN,4/18/2016 03:53:07,1962649252,190.36.187.145,13,4/18/2016 03:52:58,false,1.0,935118433,37255634,,,no,,,,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/A_girl's_poems/A_girl's_poems_0.jpg
941669665,4/27/2016 15:44:09,1970263473,4/27/2016 15:43:17,false,elite,0.7978,35961684,VEN,15,Carrizal,190.75.34.211,,check_this_box_if_there_is_text_in_the_photo,4,neodev,Barquisimeto,VEN,4/18/2016 03:53:07,1962649252,190.36.187.145,13,4/18/2016 03:52:58,false,1.0,935118433,37255634,,,no,,,,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/A_girl's_poems/A_girl's_poems_0.jpg
941669665,4/27/2016 16:10:02,1970291504,4/27/2016 16:05:59,false,clixsense,0.8936,29807478,VEN,06,Upata,190.94.197.192,,,,neodev,Barquisimeto,VEN,4/18/2016 03:53:07,1962649252,190.36.187.145,13,4/18/2016 03:52:58,false,1.0,935118433,37255634,,,no,,,,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/A_girl's_poems/A_girl's_poems_0.jpg
